Date,Team,Nombre,Acquired,Relinquished,Notes,ID
03-10-10,Bulls,Carlos Boozer,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),2430
06-10-10,Pistons,Jonas Jerebko,,Jonas Jerebko,torn right Achilles tendon (out indefinitely),201973
06-10-10,Pistons,Terrico White,,Terrico White,broken fifth metatarsal in right foot (out indefinitely),202358
08-10-10,Blazers,Jeff Ayres,,Jeff Ayres,torn ACL in right knee (out indefinitely),201965
08-10-10,Nets,Troy Murphy,,Troy Murphy,strained lower back (out indefinitely),2211
08-10-10,Pistons,Jonas Jerebko,,Jonas Jerebko,surgery to repair torn right Achilles tendon,201973
08-10-10,Pistons,Terrico White,,Terrico White,surgery on right foot to repair broken fifth metatarsal,202358
09-10-10,Nuggets,Al Harrington,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely),1733
12-10-10,Bucks,Darington Hobson,,Darington Hobson,surgery on left hip (out for season),202359
12-10-10,Kings,Samuel Dalembert,,Samuel Dalembert,strained left groin (out indefinitely),2223
17-10-10,Bobcats,Dominic McGuire,,Dominic McGuire,stress fracture in left shin (out indefinitely),201187
18-10-10,Warriors,Lou Amundson,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely),200811
19-10-10,Suns,Josh Childress,,Josh Childress,fractured right index finger (out indefinitely),2735
22-10-10,Heat,Mike Miller,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),2034
25-10-10,Thunder,Nick Collison,,Nick Collison,left knee injury (out indefinitely),2555
25-10-10,Timberwolves,Martell Webster,,Martell Webster,surgery on back (out indefinitely),101110
26-10-10,Blazers,Elliot Williams,,Elliot Williams,placed on IL,202343
26-10-10,Blazers,Greg Oden,,Greg Oden,placed on IL with left knee injury (out for season),201141
26-10-10,Blazers,Joel Przybilla,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon,2038
26-10-10,Celtics,Avery Bradley,,Avery Bradley,placed on IL recovering from surgery on left ankle,202340
26-10-10,Celtics,Kendrick Perkins,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL,2570
26-10-10,Celtics,Luke Harangody,,Luke Harangody,placed on IL,202376
26-10-10,Heat,Dexter Pittman,,Dexter Pittman,placed on IL,202354
26-10-10,Heat,Jerry Stackhouse,,Jerry Stackhouse,placed on IL,711
26-10-10,Heat,Mario Chalmers,,Mario Chalmers,sprained ankle (out indefinitely),201596
26-10-10,Heat,Mike Miller,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage,2034
26-10-10,Lakers,Andrew Bynum,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments,101115
26-10-10,Lakers,Luke Walton,,Luke Walton,placed on IL with strained right hamstring,2575
26-10-10,Rockets,Jermaine Taylor,,Jermaine Taylor,placed on IL,201966
26-10-10,Rockets,Kyle Lowry,,Kyle Lowry,placed on IL with back spasms,200768
26-10-10,Rockets,Patrick Patterson,,Patrick Patterson,placed on IL,202335
26-10-10,Suns,Gani Lawal,,Gani Lawal,placed on IL,202371
26-10-10,Suns,Matt Janning,,Matt Janning,placed on IL,NoEncontrado
27-10-10,76ers,Craig Brackins,,Craig Brackins,placed on IL,202342
27-10-10,76ers,Jodie Meeks,,Jodie Meeks,placed on IL,201975
27-10-10,Bobcats,Dominic McGuire,,Dominic McGuire,placed on IL with stress fracture in left shin,201187
27-10-10,Bobcats,Eduardo Najera,,Eduardo Najera,placed on IL with sports hernia,2059
27-10-10,Bobcats,Kwame Brown,,Kwame Brown,placed on IL with sprained left ankle,2198
27-10-10,Bucks,Chris Douglas-Roberts,,Chris Douglas-Roberts,placed on IL with right eye injury,201604
27-10-10,Bucks,Jon Brockman,,Jon Brockman,sprained left ankle (DNP),201972
27-10-10,Bucks,Luc Mbah a Moute,,Luc Mbah a Moute,sprained right ankle (DNP),201601
27-10-10,Bucks,Michael Redd,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL,2072
27-10-10,Bulls,Carlos Boozer,,Carlos Boozer,placed on IL with fractured bone in right pinky finger,2430
27-10-10,Cavaliers,Christian Eyenga,,Christian Eyenga,placed on IL,201963
27-10-10,Cavaliers,Mo Williams,,Mo Williams,placed on IL with groin injury,2590
27-10-10,Cavaliers,Samardo Samuels,,Samardo Samuels,placed on IL,202396
27-10-10,Clippers,Craig Smith,,Craig Smith,placed on IL with back injury,200783
27-10-10,Clippers,Willie Warren,,Willie Warren,placed on IL,202378
27-10-10,Grizzlies,Greivis Vasquez,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur,202349
27-10-10,Grizzlies,Marc Gasol,,Marc Gasol,placed on IL with sprained right ankle / left ankle,201188
27-10-10,Hawks,Etan Thomas,,Etan Thomas,placed on IL,2041
27-10-10,Hawks,Pape Sy,,Pape Sy,placed on IL with strained lower back,202377
27-10-10,Heat,Jamaal Magloire,,Jamaal Magloire,placed on IL,2048
27-10-10,Heat,Jerry Stackhouse,Jerry Stackhouse,,activated from IL,711
27-10-10,Hornets,Aaron Gray,,Aaron Gray,placed on IL,201189
27-10-10,Hornets,Joe Alexander,,Joe Alexander,placed on IL,201570
27-10-10,Hornets,Quincy Pondexter,,Quincy Pondexter,placed on IL,202347
27-10-10,Jazz,Mehmet Okur,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon,2246
27-10-10,Kings,Antoine Wright,,Antoine Wright,placed on IL,101120
27-10-10,Kings,Samuel Dalembert,,Samuel Dalembert,placed on IL with strained left abductor,2223
27-10-10,Knicks,Anthony Randolph,,Anthony Randolph,placed on IL with sprained left ankle,201576
27-10-10,Knicks,Eddy Curry,,Eddy Curry,placed on IL with strained right hamstring,2201
27-10-10,Knicks,Kelenna Azubuike,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee,101235
27-10-10,Mavericks,Alex Ajinca,,Alex Ajinca,placed on IL,201582
27-10-10,Mavericks,Rodrigue Beaubois,,Rodrigue Beaubois,placed on IL with fractured left foot,201958
27-10-10,Mavericks,Steve Novak,,Steve Novak,placed on IL,200779
27-10-10,Nets,Ben Uzoh,,Ben Uzoh,placed on IL,202386
27-10-10,Nets,Quinton Ross,,Quinton Ross,placed on IL,2624
27-10-10,Nets,Troy Murphy,,Troy Murphy,placed on IL with strained lower back,2211
27-10-10,Nuggets,Chris Andersen,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon,2365
27-10-10,Nuggets,Kenyon Martin,,Kenyon Martin,placed on IL recovering from surgery on left knee,2030
27-10-10,Pacers,A.J. Price,,A.J. Price,placed on IL,201985
27-10-10,Pacers,Dahntay Jones,,Dahntay Jones,placed on IL,2563
27-10-10,Pacers,Lance Stephenson,,Lance Stephenson,placed on IL,202362
27-10-10,Pistons,Chris Wilcox,,Chris Wilcox,placed on IL with sore left hamstring,2404
27-10-10,Pistons,Jonas Jerebko,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season),201973
27-10-10,Pistons,Terrico White,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season),202358
27-10-10,Raptors,Ed Davis,,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus,202334
27-10-10,Raptors,Marcus Banks,,Marcus Banks,placed on IL,2556
27-10-10,Raptors,Solomon Alabi,,Solomon Alabi,placed on IL,202374
27-10-10,Rockets,Yao Ming,,Yao Ming,placed on IL,2397
27-10-10,Rockets,Jermaine Taylor,Jermaine Taylor,,activated from IL,201966
27-10-10,Spurs,Alonzo Gee,,Alonzo Gee,placed on IL,202087
27-10-10,Spurs,Tiago Splitter,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC),201168
27-10-10,Thunder,B.J. Mullens,,B.J. Mullens,placed on IL,201957
27-10-10,Thunder,Morris Peterson,,Morris Peterson,placed on IL,2050
27-10-10,Thunder,Nick Collison,,Nick Collison,placed on IL with stress reaction in lower left leg,2555
27-10-10,Timberwolves,Jonny Flynn,,Jonny Flynn,placed on IL recovering from surgery on left hip,201938
27-10-10,Timberwolves,Martell Webster,,Martell Webster,placed on IL recovering from surgery on back,101110
27-10-10,Timberwolves,Maurice Ager,,Maurice Ager,placed on IL with bruised left quadriceps,200772
27-10-10,Warriors,Ekpe Udoh,,Ekpe Udoh,placed on IL recovering from surgery on left wrist,202327
27-10-10,Warriors,Jeremy Lin,,Jeremy Lin,placed on IL,202391
27-10-10,Warriors,Lou Amundson,,Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger,200811
28-10-10,Grizzlies,Zach Randolph,,Zach Randolph,back injury (DTD),2216
28-10-10,Hawks,Maurice Evans,,Maurice Evans,right knee inflammation (DTD),2230
28-10-10,Magic,Daniel Orton,,Daniel Orton,placed on IL,202350
28-10-10,Magic,Malik Allen,,Malik Allen,placed on IL,2124
28-10-10,Spurs,Matt Bonner,,Matt Bonner,sprained right ankle (DTD),2588
28-10-10,Wizards,Gilbert Arenas,,Gilbert Arenas,placed on IL with sprained right ankle,2240
28-10-10,Wizards,Josh Howard,,Josh Howard,placed on IL with torn ACL in left knee,2572
28-10-10,Wizards,Kevin Seraphin,,Kevin Seraphin,placed on IL,202338
29-10-10,Cavaliers,Samardo Samuels,Samardo Samuels,,activated from IL,202396
29-10-10,Celtics,Jermaine O'Neal,,Jermaine O'Neal,placed on IL with left knee injury,979
29-10-10,Celtics,Luke Harangody,Luke Harangody,,activated from IL,202376
29-10-10,Grizzlies,Zach Randolph,,Zach Randolph,placed on IL with bruised tailbone,2216
29-10-10,Grizzlies,Marc Gasol,Marc Gasol,,activated from IL,201188
29-10-10,Hawks,Maurice Evans,,Maurice Evans,placed on IL with right knee inflammation,2230
29-10-10,Hawks,Etan Thomas,Etan Thomas,,activated from IL,2041
29-10-10,Heat,Juwan Howard,,Juwan Howard,placed on IL,436
29-10-10,Heat,Jamaal Magloire,Jamaal Magloire,,activated from IL,2048
29-10-10,Heat,Mario Chalmers,Mario Chalmers,,returned to lineup,201596
29-10-10,Kings,Pooh Jeter,,Pooh Jeter,placed on IL,200817
29-10-10,Kings,Hassan Whiteside,,Hassan Whiteside,placed on IL,202355
29-10-10,Kings,Antoine Wright,Antoine Wright,,activated from IL,101120
29-10-10,Kings,Samuel Dalembert,Samuel Dalembert,,activated from IL,2223
29-10-10,Pistons,Will Bynum,,Will Bynum,sore right hamstring (DNP),101198
29-10-10,Raptors,Joey Dorsey,,Joey Dorsey,placed on IL,201595
29-10-10,Raptors,Marcus Banks,Marcus Banks,,activated from IL,2556
29-10-10,Warriors,Jeff Adrien,,Jeff Adrien,placed on IL,202399
29-10-10,Warriors,Jeremy Lin,Jeremy Lin,,activated from IL,202391
30-10-10,Cavaliers,Samardo Samuels,,Samardo Samuels,placed on IL,202396
30-10-10,Grizzlies,Xavier Henry,,Xavier Henry,placed on IL,202333
30-10-10,Grizzlies,Greivis Vasquez,Greivis Vasquez,,activated from IL,202349
30-10-10,Pacers,Jeff Foster,,Jeff Foster,placed on IL,1902
30-10-10,Pacers,Dahntay Jones,Dahntay Jones,,activated from IL,2563
30-10-10,Pistons,Will Bynum,,Will Bynum,sore right hamstring (DNP),101198
30-10-10,Rockets,Ish Smith,,Ish Smith,placed on IL,202397
30-10-10,Rockets,Kyle Lowry,Kyle Lowry,,activated from IL,200768
30-10-10,Rockets,Yao Ming,Yao Ming,,activated from IL,2397
30-10-10,Spurs,Matt Bonner,,Matt Bonner,placed on IL with sprained right ankle,2588
30-10-10,Spurs,Alonzo Gee,Alonzo Gee,,activated from IL,202087
30-10-10,Wizards,Kevin Seraphin,Kevin Seraphin,,activated from IL,202338
31-10-10,Clippers,Randy Foye,,Randy Foye,placed on IL with strained left hamstring,200751
31-10-10,Clippers,Craig Smith,Craig Smith,,activated from IL,200783
31-10-10,Warriors,Stephen Curry,,Stephen Curry,placed on IL with sprained right ankle,201939
31-10-10,Warriors,Jeff Adrien,Jeff Adrien,,activated from IL,202399
01-11-10,Clippers,Baron Davis,,Baron Davis,placed on IL with sore left knee,1884
01-11-10,Clippers,Willie Warren,Willie Warren,,activated from IL,202378
01-11-10,Raptors,Marcus Banks,,Marcus Banks,placed on IL,2556
01-11-10,Raptors,Joey Dorsey,Joey Dorsey,,activated from IL,201595
01-11-10,Spurs,Alonzo Gee,,Alonzo Gee,placed on IL,202087
01-11-10,Spurs,Tiago Splitter,Tiago Splitter,,activated from IL,201168
02-11-10,Blazers,Patty Mills,,Patty Mills,placed on IL,201988
02-11-10,Blazers,Elliot Williams,Elliot Williams,,activated from IL,202343
02-11-10,Cavaliers,Antawn Jamison,,Antawn Jamison,placed on IL with sore left knee,1712
02-11-10,Cavaliers,Mo Williams,Mo Williams,,activated from IL,2590
02-11-10,Celtics,Shaquille O'Neal,,Shaquille O'Neal,placed on IL with bruised right knee,406
02-11-10,Celtics,Jermaine O'Neal,Jermaine O'Neal,,activated from IL,979
02-11-10,Grizzlies,Greivis Vasquez,,Greivis Vasquez,placed on IL,202349
02-11-10,Grizzlies,Xavier Henry,Xavier Henry,,activated from IL,202333
02-11-10,Heat,Jamaal Magloire,,Jamaal Magloire,placed on IL,2048
02-11-10,Heat,Juwan Howard,Juwan Howard,,activated from IL,436
02-11-10,Pistons,Richard Hamilton,,Richard Hamilton,sore right foot (DNP),1888
02-11-10,Pistons,Will Bynum,,Will Bynum,sore right hamstring (DNP),101198
03-11-10,Grizzlies,DeMarre Carroll,,DeMarre Carroll,placed on IL,201960
03-11-10,Grizzlies,Greivis Vasquez,Greivis Vasquez,,activated from IL,202349
03-11-10,Hawks,Jamal Crawford,,Jamal Crawford,turf toe (DNP),2037
03-11-10,Hornets,Peja Stojakovic,,Peja Stojakovic,placed on IL,978
03-11-10,Hornets,Quincy Pondexter,Quincy Pondexter,,activated from IL,202347
03-11-10,Jazz,Jeremy Evans,,Jeremy Evans,sprained right wrist (DNP),202379
03-11-10,Jazz,Kyrylo Fesenko,,Kyrylo Fesenko,stomach illness (DNP),201178
03-11-10,Nets,Joe Smith,,Joe Smith ,placed on IL,693
03-11-10,Nets,Stephen Graham,,Stephen Graham,placed on IL,101211
03-11-10,Nets,Quinton Ross,Quinton Ross,,activated from IL,2624
03-11-10,Nets,Troy Murphy,Troy Murphy,,activated from IL,2211
03-11-10,Nuggets,Nene Hilario,,Nene Hilario ,strained left groin (DNP),2403
03-11-10,Pistons,Richard Hamilton,,Richard Hamilton,sore right foot (DNP),1888
03-11-10,Pistons,Will Bynum,,Will Bynum,sore right hamstring (DNP),101198
03-11-10,Rockets,Jermaine Taylor,,Jermaine Taylor,placed on IL,201966
03-11-10,Rockets,Kyle Lowry,Kyle Lowry,,activated from IL,200768
03-11-10,Spurs,George Hill,,George Hill,placed on IL with neck injury,201588
03-11-10,Spurs,Alonzo Gee,Alonzo Gee,,activated from IL,202087
03-11-10,Timberwolves,Michael Beasley,,Michael Beasley,placed on IL with bruised left hip,201563
03-11-10,Timberwolves,Maurice Ager,Maurice Ager,,activated from IL,200772
03-11-10,Warriors,Brandan Wright,,Brandan Wright,stomach virus (DTD),201148
04-11-10,Blazers,Elliot Williams,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",202343
04-11-10,Blazers,Patty Mills,Patty Mills,,activated from IL,201988
04-11-10,Knicks,Shawne Williams,,Shawne Williams,placed on IL,200761
04-11-10,Knicks,Anthony Randolph,Anthony Randolph,,activated from IL,201576
05-11-10,Bucks,Andrew Bogut,,Andrew Bogut,migraine headache (DNP),101106
05-11-10,Grizzlies,Hamed Haddadi,,Hamed Haddadi,placed on IL,201632
05-11-10,Grizzlies,Zach Randolph,Zach Randolph,,activated from IL,2216
05-11-10,Hawks,Marvin Williams,,Marvin Williams,bone bruise in right knee (DNP),101107
05-11-10,Jazz,Jeremy Evans,,Jeremy Evans,sprained right ankle (DNP),202379
05-11-10,Lakers,Devin Ebanks,,Devin Ebanks,placed on IL,202365
05-11-10,Lakers,Luke Walton,Luke Walton,,activated from IL,2575
05-11-10,Nuggets,Nene Hilario,,Nene Hilario ,strained left groin (DNP),2403
05-11-10,Timberwolves,Maurice Ager,,Maurice Ager,placed on IL,200772
05-11-10,Timberwolves,Michael Beasley,Michael Beasley,,activated from IL,201563
05-11-10,Warriors,Jeremy Lin,,Jeremy Lin,placed on IL,202391
05-11-10,Warriors,Stephen Curry,Stephen Curry,,activated from IL,201939
05-11-10,Wizards,Gilbert Arenas,Gilbert Arenas,,activated from IL,2240
06-11-10,Blazers,Elliot Williams,,Elliot Williams,"placed on IL with dislocated patella in right knee (surgery, out for season)",202343
06-11-10,Blazers,Rudy Fernandez,,Rudy Fernandez,back injury (DNP),201164
06-11-10,Heat,Juwan Howard,,Juwan Howard,placed on IL,436
06-11-10,Heat,Jamaal Magloire,Jamaal Magloire,,activated from IL,2048
06-11-10,Kings,Pooh Jeter,Pooh Jeter,,activated from IL,200817
06-11-10,Kings,Hassan Whiteside,Hassan Whiteside,,activated from IL,202355
06-11-10,Magic,Jameer Nelson,,Jameer Nelson,placed on IL with sprained left ankle,2749
06-11-10,Magic,Malik Allen,Malik Allen,,activated from IL,2124
06-11-10,Nuggets,Nene Hilario,,Nene Hilario ,strained left groin (DNP),2403
06-11-10,Raptors,Sonny Weems,,Sonny Weems,ankle injury (DTD),201603
06-11-10,Raptors,Sonny Weems,,Sonny Weems,placed on IL with ankle injury,201603
06-11-10,Raptors,Marcus Banks,Marcus Banks,,activated from IL,2556
06-11-10,Rockets,Kyle Lowry,,Kyle Lowry,placed on IL with sore back,200768
06-11-10,Rockets,Yao Ming,,Yao Ming,placed on IL with foot injury / rest,2397
06-11-10,Rockets,Ish Smith,Ish Smith,,activated from IL,202397
06-11-10,Rockets,Jermaine Taylor,Jermaine Taylor,,activated from IL,201966
06-11-10,Spurs,George Hill,George Hill,,activated from IL,201588
07-11-10,76ers,Andre Iguodala,,Andre Iguodala,placed on IL with right Achilles tendon injury,2738
07-11-10,76ers,Jodie Meeks,Jodie Meeks,,activated from IL,201975
07-11-10,Hawks,Marvin Williams,,Marvin Williams,bone bruise in right knee (DNP),101107
07-11-10,Rockets,Aaron Brooks,,Aaron Brooks,placed on IL with sprained left ankle,201166
07-11-10,Rockets,Yao Ming,Yao Ming,,activated from IL,2397
07-11-10,Thunder,Jeff Green,,Jeff Green,placed on IL with sprained left ankle,201145
07-11-10,Thunder,Morris Peterson,Morris Peterson,,activated from IL,2050
07-11-10,Timberwolves,Lazar Hayward,,Lazar Hayward,placed on IL,202351
07-11-10,Timberwolves,Michael Beasley,Michael Beasley,,activated from IL (P),201563
07-11-10,Warriors,Jeff Adrien,,Jeff Adrien,placed on IL,202399
07-11-10,Warriors,Jeremy Lin,Jeremy Lin,,activated from IL,202391
08-11-10,Hawks,Marvin Williams,,Marvin Williams,bone bruise in right knee (DNP),101107
08-11-10,Magic,Mickael Pietrus,,Mickael Pietrus,DNP,2554
08-11-10,Raptors,Joey Dorsey,,Joey Dorsey,placed on IL,201595
08-11-10,Raptors,Sonny Weems,Sonny Weems,,activated from IL,201603
08-11-10,Spurs,Garrett Temple,,Garrett Temple,placed on IL,202066
09-11-10,Bucks,Carlos Delfino,,Carlos Delfino,strained neck (DNP),2568
09-11-10,Cavaliers,Manny Harris,,Manny Harris,placed on IL,202412
09-11-10,Cavaliers,Antawn Jamison,Antawn Jamison,,activated from IL,1712
09-11-10,Clippers,Eric Gordon,,Eric Gordon,placed on IL with left shoulder injury,201569
09-11-10,Clippers,Baron Davis,Baron Davis,,activated from IL,1884
09-11-10,Lakers,Derrick Caracter,,Derrick Caracter,placed on IL,202382
09-11-10,Lakers,Devin Ebanks,Devin Ebanks,,activated from IL,202365
09-11-10,Nets,Terrence Williams,,Terrence Williams,placed on IL with lower abdominal strain,201944
09-11-10,Nets,Stephen Graham,Stephen Graham,,activated from IL,101211
09-11-10,Timberwolves,Luke Ridnour,,Luke Ridnour,placed on IL with strained hamstring,2557
09-11-10,Timberwolves,Lazar Hayward,Lazar Hayward,,activated from IL,202351
10-11-10,76ers,Craig Brackins,Craig Brackins,,activated from IL,202342
10-11-10,Bucks,Carlos Delfino,,Carlos Delfino,strained neck (DNP),2568
10-11-10,Clippers,Baron Davis,,Baron Davis,placed on IL with sore left knee,1884
10-11-10,Clippers,Chris Kaman,,Chris Kaman,sprained left ankle (DNP),2549
10-11-10,Hawks,Marvin Williams,,Marvin Williams,bone bruise in right knee (DNP),101107
10-11-10,Kings,Pooh Jeter,,Pooh Jeter,placed on IL,200817
10-11-10,Kings,Hassan Whiteside,,Hassan Whiteside,placed on IL,202355
10-11-10,Knicks,Ronny Turiaf,,Ronny Turiaf,placed on IL with sprained left knee,101142
10-11-10,Knicks,Shawne Williams,Shawne Williams,,activated from IL,200761
10-11-10,Magic,Malik Allen,,Malik Allen,placed on IL,2124
10-11-10,Magic,Jameer Nelson,Jameer Nelson,,activated from IL,2749
10-11-10,Mavericks,Caron Butler,,Caron Butler,placed on IL with back spasms,2406
10-11-10,Mavericks,Steve Novak,Steve Novak,,activated from IL,200779
10-11-10,Nets,Stephen Graham,,Stephen Graham,placed on IL,101211
10-11-10,Nets,Troy Murphy,,Troy Murphy,placed on IL with sore right foot,2211
10-11-10,Nets,Ben Uzoh,Ben Uzoh,,activated from IL,202386
10-11-10,Nets,Joe Smith,Joe Smith ,,activated from IL,693
10-11-10,Raptors,David Andersen,,David Andersen,flu (DTD),2431
10-11-10,Raptors,Leandro Barbosa,,Leandro Barbosa,placed on IL with strained left shoulder,2571
10-11-10,Raptors,Joey Dorsey,Joey Dorsey,,activated from IL,201595
10-11-10,Rockets,Jermaine Taylor,,Jermaine Taylor,placed on IL,201966
10-11-10,Rockets,Kyle Lowry,Kyle Lowry,,activated from IL,200768
10-11-10,Timberwolves,Wayne Ellington,,Wayne Ellington,thigh injury (DTD),201961
10-11-10,Warriors,Dan Gadzuric,,Dan Gadzuric,placed on IL with back spasms,2429
10-11-10,Warriors,Jeff Adrien,Jeff Adrien,,activated from IL,202399
10-11-10,Wizards,Kevin Seraphin,,Kevin Seraphin,placed on IL,202338
10-11-10,Wizards,Lester Hudson,,Lester Hudson,placed on IL,201991
10-11-10,Clippers,Eric Gordon,Eric Gordon,,activated from IL,201569
10-11-10,Clippers,Eric Gordon,,Eric Gordon,sore left shoulder (DNP),201569
11-11-10,Celtics,Jermaine O'Neal,,Jermaine O'Neal,sore left knee (DNP),979
11-11-10,Celtics,Shaquille O'Neal,Shaquille O'Neal,,activated from IL,406
11-11-10,Lakers,Theo Ratliff,,Theo Ratliff,placed on IL with left knee tendinitis,689
11-11-10,Lakers,Derrick Caracter,Derrick Caracter,,activated from IL,202382
11-11-10,Rockets,Yao Ming,,Yao Ming,sprained left ankle (DTD),2397
11-11-10,Spurs,James Anderson,,James Anderson,stress fracture in right foot (out indefinitely),202341
11-11-10,Warriors,David Lee,,David Lee,placed on IL with infection in left elbow,101135
11-11-10,Warriors,Dan Gadzuric,Dan Gadzuric,,activated from IL,2429
12-11-10,76ers,Craig Brackins,,Craig Brackins,placed on IL,202342
12-11-10,76ers,Darius Songaila,,Darius Songaila,placed on IL,2443
12-11-10,76ers,Andre Iguodala,Andre Iguodala,,activated from IL,2738
12-11-10,Clippers,Chris Kaman,,Chris Kaman,placed on IL with knee injury (P),2549
12-11-10,Hawks,Etan Thomas,,Etan Thomas,placed on IL,2041
12-11-10,Hawks,Maurice Evans,Maurice Evans,,activated from IL,2230
12-11-10,Raptors,David Andersen,,David Andersen,placed on IL with flu,2431
12-11-10,Raptors,Linas Kleiza,,Linas Kleiza,placed on IL with right Achilles tendinitis,101132
12-11-10,Raptors,Ed Davis,Ed Davis ,,activated from IL,202334
12-11-10,Raptors,Solomon Alabi,Solomon Alabi,,activated from IL,202374
12-11-10,Rockets,Yao Ming,,Yao Ming,placed on IL with sprained left ankle (later diagnosed as stress fracture in left ankle),2397
12-11-10,Rockets,Jermaine Taylor,Jermaine Taylor,,activated from IL,201966
12-11-10,Thunder,B.J. Mullens,B.J. Mullens,,activated from IL,201957
12-11-10,Warriors,David Lee,,David Lee,surgery on left elbow to repair infection,101135
12-11-10,Clippers,Randy Foye,Randy Foye,,activated from IL,200751
12-11-10,Clippers,Randy Foye,,Randy Foye,strained left hamstring (DNP),200751
13-11-10,Bobcats,Eduardo Najera,Eduardo Najera,,activated from IL,2059
13-11-10,Bucks,Carlos Delfino,,Carlos Delfino,strained neck (DNP),2568
13-11-10,Cavaliers,Anderson Varejao,,Anderson Varejao,placed on IL with bruised ribs,2760
13-11-10,Cavaliers,Mo Williams,,Mo Williams,placed on IL with strained left groin,2590
13-11-10,Cavaliers,Manny Harris,Manny Harris,,activated from IL,202412
13-11-10,Cavaliers,Samardo Samuels,Samardo Samuels,,activated from IL,202396
13-11-10,Celtics,Jermaine O'Neal,,Jermaine O'Neal,sore left knee (DNP),979
13-11-10,Heat,Jamaal Magloire,,Jamaal Magloire,placed on IL,2048
13-11-10,Heat,Juwan Howard,Juwan Howard,,activated from IL,436
13-11-10,Hornets,Marcus Thornton,,Marcus Thornton ,placed on IL,201977
13-11-10,Hornets,Peja Stojakovic,Peja Stojakovic,,activated from IL,978
13-11-10,Nets,Joe Smith,,Joe Smith ,placed on IL,693
13-11-10,Nets,Troy Murphy,Troy Murphy,,activated from IL,2211
13-11-10,Raptors,Ed Davis,,Ed Davis ,placed on IL,202334
13-11-10,Raptors,Reggie Evans,,Reggie Evans,flu-like symptoms (DNP),2501
13-11-10,Raptors,David Andersen,David Andersen,,activated from IL,2431
13-11-10,Spurs,James Anderson,,James Anderson,placed on IL with stress fracture in right foot,202341
13-11-10,Spurs,Matt Bonner,Matt Bonner,,activated from IL,2588
14-11-10,Lakers,Steve Blake,,Steve Blake,placed on IL with stomach ache,2581
14-11-10,Lakers,Theo Ratliff,Theo Ratliff,,activated from IL,689
14-11-10,Pistons,DaJuan Summers,,DaJuan Summers,placed on IL,201969
14-11-10,Pistons,Chris Wilcox,Chris Wilcox,,activated from IL,2404
14-11-10,Rockets,Chase Budinger,,Chase Budinger,sprained left ankle (DNP),201978
14-11-10,Thunder,B.J. Mullens,,B.J. Mullens,placed on IL,201957
14-11-10,Thunder,Daequan Cook,,Daequan Cook,placed on IL,201161
14-11-10,Thunder,Jeff Green,Jeff Green,,activated from IL,201145
14-11-10,Thunder,Nick Collison,Nick Collison,,activated from IL,2555
14-11-10,Timberwolves,Nikola Pekovic,,Nikola Pekovic,sprained left ankle (DNP),201593
14-11-10,Timberwolves,Wayne Ellington,,Wayne Ellington,bruised left thigh (DNP),201961
15-11-10,Bobcats,Gerald Henderson Jr.,,Gerald Henderson Jr.,placed on IL with sore left knee,201945
15-11-10,Bobcats,Kwame Brown,Kwame Brown,,activated from IL,2198
15-11-10,Clippers,Randy Foye,,Randy Foye,strained left hamstring (DNP),200751
15-11-10,Jazz,Raja Bell,,Raja Bell,strained left abductor (DNP),1952
15-11-10,Magic,J.J. Redick,,J.J. Redick,placed on IL with back spasms,200755
15-11-10,Magic,Malik Allen,Malik Allen,,activated from IL,2124
15-11-10,Nets,Damion James,,Damion James,placed on IL,202345
15-11-10,Nets,Stephen Graham,Stephen Graham,,activated from IL,101211
15-11-10,Suns,Robin Lopez,,Robin Lopez,placed on IL with sprained ligaments in left knee,201577
15-11-10,Suns,Gani Lawal,Gani Lawal,,activated from IL,202371
15-11-10,Thunder,Jeff Green,,Jeff Green,placed on IL with sprained left ankle,201145
15-11-10,Timberwolves,Nikola Pekovic,,Nikola Pekovic,left foot injury (DNP),201593
15-11-10,Timberwolves,Wayne Ellington,,Wayne Ellington,bruised left thigh (DNP),201961
16-11-10,76ers,Andre Iguodala,,Andre Iguodala,placed on IL with right Achilles tendon injury,2738
